Instance File:
  instances/cmb01

Time:
  1585.2371318340302

Parameters:
  Cooling Factor r: 0.8
  Instances I: 100
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  956445.4299999999

Final number of color conflicts:
  84

Solution:
  Vertex 0 color = 9
  Vertex 1 color = 10
  Vertex 2 color = 3
  Vertex 3 color = 4
  Vertex 4 color = 1
  Vertex 5 color = 7
  Vertex 6 color = 2
  Vertex 7 color = 9
  Vertex 8 color = 6
  Vertex 9 color = 6
  Vertex 10 color = 8
  Vertex 11 color = 0
  Vertex 12 color = 4
  Vertex 13 color = 3
  Vertex 14 color = 8
  Vertex 15 color = 9
  Vertex 16 color = 0
  Vertex 17 color = 8
  Vertex 18 color = 2
  Vertex 19 color = 0
  Vertex 20 color = 2
  Vertex 21 color = 9
  Vertex 22 color = 5
  Vertex 23 color = 2
  Vertex 24 color = 3
  Vertex 25 color = 5
  Vertex 26 color = 7
  Vertex 27 color = 11
  Vertex 28 color = 3
  Vertex 29 color = 10
  Vertex 30 color = 11
  Vertex 31 color = 6
  Vertex 32 color = 5
  Vertex 33 color = 2
  Vertex 34 color = 10
  Vertex 35 color = 6
  Vertex 36 color = 3
  Vertex 37 color = 8
  Vertex 38 color = 11
  Vertex 39 color = 9
  Vertex 40 color = 1
  Vertex 41 color = 9
  Vertex 42 color = 7
  Vertex 43 color = 0
  Vertex 44 color = 11
  Vertex 45 color = 3
  Vertex 46 color = 0
  Vertex 47 color = 3
  Vertex 48 color = 3
  Vertex 49 color = 1
  Vertex 50 color = 7
  Vertex 51 color = 8
  Vertex 52 color = 0
  Vertex 53 color = 9
  Vertex 54 color = 4
  Vertex 55 color = 11
  Vertex 56 color = 8
  Vertex 57 color = 7
  Vertex 58 color = 6
  Vertex 59 color = 2
  Vertex 60 color = 1
  Vertex 61 color = 10
  Vertex 62 color = 7
  Vertex 63 color = 7
  Vertex 64 color = 11
  Vertex 65 color = 2
  Vertex 66 color = 2
  Vertex 67 color = 8
  Vertex 68 color = 9
  Vertex 69 color = 0
  Vertex 70 color = 9
  Vertex 71 color = 11
  Vertex 72 color = 5
  Vertex 73 color = 8
  Vertex 74 color = 2
  Vertex 75 color = 2
  Vertex 76 color = 7
  Vertex 77 color = 4
  Vertex 78 color = 5
  Vertex 79 color = 11
  Vertex 80 color = 6
  Vertex 81 color = 0
  Vertex 82 color = 3
  Vertex 83 color = 0
  Vertex 84 color = 0
  Vertex 85 color = 1
  Vertex 86 color = 11
  Vertex 87 color = 10
  Vertex 88 color = 10
  Vertex 89 color = 10
  Vertex 90 color = 8
  Vertex 91 color = 9
  Vertex 92 color = 7
  Vertex 93 color = 5
  Vertex 94 color = 7
  Vertex 95 color = 2
  Vertex 96 color = 0
  Vertex 97 color = 1
  Vertex 98 color = 3
  Vertex 99 color = 5
  Vertex 100 color = 2
  Vertex 101 color = 1
  Vertex 102 color = 3
  Vertex 103 color = 10
  Vertex 104 color = 9
  Vertex 105 color = 10
  Vertex 106 color = 7
  Vertex 107 color = 4
  Vertex 108 color = 4
  Vertex 109 color = 1
  Vertex 110 color = 9
  Vertex 111 color = 4
  Vertex 112 color = 8
  Vertex 113 color = 2
  Vertex 114 color = 5
  Vertex 115 color = 7
  Vertex 116 color = 0
  Vertex 117 color = 3
  Vertex 118 color = 11
  Vertex 119 color = 5
  Vertex 120 color = 6
  Vertex 121 color = 3
  Vertex 122 color = 9
  Vertex 123 color = 9
  Vertex 124 color = 8
  Vertex 125 color = 2
  Vertex 126 color = 2
  Vertex 127 color = 11
  Vertex 128 color = 6
  Vertex 129 color = 9
  Vertex 130 color = 4
  Vertex 131 color = 8
  Vertex 132 color = 11
  Vertex 133 color = 1
  Vertex 134 color = 10
  Vertex 135 color = 5
  Vertex 136 color = 10
  Vertex 137 color = 2
  Vertex 138 color = 4
  Vertex 139 color = 7
  Vertex 140 color = 4
  Vertex 141 color = 1
  Vertex 142 color = 7
  Vertex 143 color = 1
  Vertex 144 color = 10
  Vertex 145 color = 1
  Vertex 146 color = 9
  Vertex 147 color = 10
  Vertex 148 color = 0
  Vertex 149 color = 8
  Vertex 150 color = 0
  Vertex 151 color = 11
  Vertex 152 color = 10
  Vertex 153 color = 0
  Vertex 154 color = 3
  Vertex 155 color = 4
