Instance File:
  instances/cmb01

Time:
  3568.405797958374

Parameters:
  Cooling Factor r: 0.85
  Instances I: 50
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  192282.91999999998

Final number of color conflicts:
  9

Solution:
  Vertex 0 color = 6
  Vertex 1 color = 11
  Vertex 2 color = 5
  Vertex 3 color = 11
  Vertex 4 color = 10
  Vertex 5 color = 2
  Vertex 6 color = 6
  Vertex 7 color = 11
  Vertex 8 color = 11
  Vertex 9 color = 11
  Vertex 10 color = 3
  Vertex 11 color = 7
  Vertex 12 color = 5
  Vertex 13 color = 4
  Vertex 14 color = 8
  Vertex 15 color = 2
  Vertex 16 color = 6
  Vertex 17 color = 6
  Vertex 18 color = 3
  Vertex 19 color = 2
  Vertex 20 color = 8
  Vertex 21 color = 8
  Vertex 22 color = 11
  Vertex 23 color = 2
  Vertex 24 color = 2
  Vertex 25 color = 10
  Vertex 26 color = 7
  Vertex 27 color = 11
  Vertex 28 color = 6
  Vertex 29 color = 5
  Vertex 30 color = 4
  Vertex 31 color = 6
  Vertex 32 color = 3
  Vertex 33 color = 6
  Vertex 34 color = 9
  Vertex 35 color = 10
  Vertex 36 color = 9
  Vertex 37 color = 2
  Vertex 38 color = 5
  Vertex 39 color = 5
  Vertex 40 color = 11
  Vertex 41 color = 5
  Vertex 42 color = 11
  Vertex 43 color = 8
  Vertex 44 color = 0
  Vertex 45 color = 6
  Vertex 46 color = 9
  Vertex 47 color = 2
  Vertex 48 color = 10
  Vertex 49 color = 2
  Vertex 50 color = 11
  Vertex 51 color = 8
  Vertex 52 color = 0
  Vertex 53 color = 10
  Vertex 54 color = 2
  Vertex 55 color = 2
  Vertex 56 color = 3
  Vertex 57 color = 11
  Vertex 58 color = 6
  Vertex 59 color = 10
  Vertex 60 color = 9
  Vertex 61 color = 1
  Vertex 62 color = 10
  Vertex 63 color = 4
  Vertex 64 color = 11
  Vertex 65 color = 2
  Vertex 66 color = 3
  Vertex 67 color = 6
  Vertex 68 color = 4
  Vertex 69 color = 0
  Vertex 70 color = 5
  Vertex 71 color = 0
  Vertex 72 color = 7
  Vertex 73 color = 6
  Vertex 74 color = 10
  Vertex 75 color = 7
  Vertex 76 color = 11
  Vertex 77 color = 0
  Vertex 78 color = 6
  Vertex 79 color = 3
  Vertex 80 color = 2
  Vertex 81 color = 4
  Vertex 82 color = 6
  Vertex 83 color = 0
  Vertex 84 color = 3
  Vertex 85 color = 5
  Vertex 86 color = 2
  Vertex 87 color = 9
  Vertex 88 color = 10
  Vertex 89 color = 7
  Vertex 90 color = 5
  Vertex 91 color = 3
  Vertex 92 color = 5
  Vertex 93 color = 0
  Vertex 94 color = 5
  Vertex 95 color = 2
  Vertex 96 color = 10
  Vertex 97 color = 2
  Vertex 98 color = 10
  Vertex 99 color = 7
  Vertex 100 color = 10
  Vertex 101 color = 8
  Vertex 102 color = 2
  Vertex 103 color = 6
  Vertex 104 color = 2
  Vertex 105 color = 2
  Vertex 106 color = 3
  Vertex 107 color = 3
  Vertex 108 color = 6
  Vertex 109 color = 1
  Vertex 110 color = 0
  Vertex 111 color = 4
  Vertex 112 color = 8
  Vertex 113 color = 9
  Vertex 114 color = 8
  Vertex 115 color = 7
  Vertex 116 color = 8
  Vertex 117 color = 7
  Vertex 118 color = 5
  Vertex 119 color = 7
  Vertex 120 color = 9
  Vertex 121 color = 6
  Vertex 122 color = 7
  Vertex 123 color = 8
  Vertex 124 color = 9
  Vertex 125 color = 10
  Vertex 126 color = 7
  Vertex 127 color = 4
  Vertex 128 color = 11
  Vertex 129 color = 7
  Vertex 130 color = 11
  Vertex 131 color = 11
  Vertex 132 color = 11
  Vertex 133 color = 4
  Vertex 134 color = 1
  Vertex 135 color = 10
  Vertex 136 color = 7
  Vertex 137 color = 9
  Vertex 138 color = 3
  Vertex 139 color = 8
  Vertex 140 color = 1
  Vertex 141 color = 6
  Vertex 142 color = 5
  Vertex 143 color = 1
  Vertex 144 color = 10
  Vertex 145 color = 3
  Vertex 146 color = 1
  Vertex 147 color = 7
  Vertex 148 color = 1
  Vertex 149 color = 4
  Vertex 150 color = 4
  Vertex 151 color = 10
  Vertex 152 color = 10
  Vertex 153 color = 11
  Vertex 154 color = 6
  Vertex 155 color = 8
