Instance File:
  instances/cmb01

Time:
  7850.506317615509

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.01
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  131747.93

Final number of color conflicts:
  3

Solution:
  Vertex 0 color = 2
  Vertex 1 color = 1
  Vertex 2 color = 6
  Vertex 3 color = 4
  Vertex 4 color = 7
  Vertex 5 color = 1
  Vertex 6 color = 2
  Vertex 7 color = 9
  Vertex 8 color = 1
  Vertex 9 color = 5
  Vertex 10 color = 2
  Vertex 11 color = 8
  Vertex 12 color = 0
  Vertex 13 color = 10
  Vertex 14 color = 4
  Vertex 15 color = 5
  Vertex 16 color = 10
  Vertex 17 color = 3
  Vertex 18 color = 6
  Vertex 19 color = 6
  Vertex 20 color = 10
  Vertex 21 color = 10
  Vertex 22 color = 10
  Vertex 23 color = 9
  Vertex 24 color = 5
  Vertex 25 color = 3
  Vertex 26 color = 7
  Vertex 27 color = 0
  Vertex 28 color = 11
  Vertex 29 color = 10
  Vertex 30 color = 0
  Vertex 31 color = 2
  Vertex 32 color = 8
  Vertex 33 color = 5
  Vertex 34 color = 0
  Vertex 35 color = 4
  Vertex 36 color = 10
  Vertex 37 color = 2
  Vertex 38 color = 2
  Vertex 39 color = 9
  Vertex 40 color = 2
  Vertex 41 color = 0
  Vertex 42 color = 11
  Vertex 43 color = 11
  Vertex 44 color = 11
  Vertex 45 color = 7
  Vertex 46 color = 4
  Vertex 47 color = 3
  Vertex 48 color = 5
  Vertex 49 color = 2
  Vertex 50 color = 6
  Vertex 51 color = 1
  Vertex 52 color = 9
  Vertex 53 color = 7
  Vertex 54 color = 3
  Vertex 55 color = 8
  Vertex 56 color = 7
  Vertex 57 color = 6
  Vertex 58 color = 11
  Vertex 59 color = 2
  Vertex 60 color = 1
  Vertex 61 color = 0
  Vertex 62 color = 1
  Vertex 63 color = 1
  Vertex 64 color = 4
  Vertex 65 color = 6
  Vertex 66 color = 0
  Vertex 67 color = 8
  Vertex 68 color = 8
  Vertex 69 color = 3
  Vertex 70 color = 2
  Vertex 71 color = 3
  Vertex 72 color = 4
  Vertex 73 color = 6
  Vertex 74 color = 3
  Vertex 75 color = 3
  Vertex 76 color = 10
  Vertex 77 color = 11
  Vertex 78 color = 9
  Vertex 79 color = 9
  Vertex 80 color = 4
  Vertex 81 color = 6
  Vertex 82 color = 6
  Vertex 83 color = 6
  Vertex 84 color = 8
  Vertex 85 color = 10
  Vertex 86 color = 1
  Vertex 87 color = 8
  Vertex 88 color = 3
  Vertex 89 color = 4
  Vertex 90 color = 4
  Vertex 91 color = 5
  Vertex 92 color = 7
  Vertex 93 color = 2
  Vertex 94 color = 4
  Vertex 95 color = 1
  Vertex 96 color = 5
  Vertex 97 color = 0
  Vertex 98 color = 6
  Vertex 99 color = 7
  Vertex 100 color = 8
  Vertex 101 color = 8
  Vertex 102 color = 7
  Vertex 103 color = 9
  Vertex 104 color = 0
  Vertex 105 color = 2
  Vertex 106 color = 5
  Vertex 107 color = 7
  Vertex 108 color = 8
  Vertex 109 color = 10
  Vertex 110 color = 5
  Vertex 111 color = 1
  Vertex 112 color = 11
  Vertex 113 color = 7
  Vertex 114 color = 4
  Vertex 115 color = 1
  Vertex 116 color = 7
  Vertex 117 color = 7
  Vertex 118 color = 11
  Vertex 119 color = 0
  Vertex 120 color = 9
  Vertex 121 color = 10
  Vertex 122 color = 4
  Vertex 123 color = 5
  Vertex 124 color = 4
  Vertex 125 color = 1
  Vertex 126 color = 8
  Vertex 127 color = 8
  Vertex 128 color = 11
  Vertex 129 color = 8
  Vertex 130 color = 5
  Vertex 131 color = 4
  Vertex 132 color = 2
  Vertex 133 color = 6
  Vertex 134 color = 2
  Vertex 135 color = 11
  Vertex 136 color = 2
  Vertex 137 color = 2
  Vertex 138 color = 11
  Vertex 139 color = 0
  Vertex 140 color = 9
  Vertex 141 color = 0
  Vertex 142 color = 8
  Vertex 143 color = 6
  Vertex 144 color = 3
  Vertex 145 color = 7
  Vertex 146 color = 3
  Vertex 147 color = 0
  Vertex 148 color = 1
  Vertex 149 color = 5
  Vertex 150 color = 6
  Vertex 151 color = 2
  Vertex 152 color = 10
  Vertex 153 color = 0
  Vertex 154 color = 11
  Vertex 155 color = 8
