Instance File:
  instances/cmb01

Time:
  5198.370677471161

Parameters:
  Cooling Factor r: 0.6
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  171721.15000000002

Final number of color conflicts:
  7

Solution:
  Vertex 0 color = 2
  Vertex 1 color = 10
  Vertex 2 color = 5
  Vertex 3 color = 7
  Vertex 4 color = 3
  Vertex 5 color = 5
  Vertex 6 color = 11
  Vertex 7 color = 7
  Vertex 8 color = 3
  Vertex 9 color = 7
  Vertex 10 color = 9
  Vertex 11 color = 4
  Vertex 12 color = 7
  Vertex 13 color = 6
  Vertex 14 color = 8
  Vertex 15 color = 6
  Vertex 16 color = 2
  Vertex 17 color = 2
  Vertex 18 color = 8
  Vertex 19 color = 3
  Vertex 20 color = 0
  Vertex 21 color = 4
  Vertex 22 color = 2
  Vertex 23 color = 1
  Vertex 24 color = 5
  Vertex 25 color = 3
  Vertex 26 color = 3
  Vertex 27 color = 7
  Vertex 28 color = 4
  Vertex 29 color = 3
  Vertex 30 color = 7
  Vertex 31 color = 9
  Vertex 32 color = 3
  Vertex 33 color = 10
  Vertex 34 color = 8
  Vertex 35 color = 8
  Vertex 36 color = 8
  Vertex 37 color = 2
  Vertex 38 color = 9
  Vertex 39 color = 10
  Vertex 40 color = 0
  Vertex 41 color = 5
  Vertex 42 color = 8
  Vertex 43 color = 0
  Vertex 44 color = 1
  Vertex 45 color = 2
  Vertex 46 color = 10
  Vertex 47 color = 2
  Vertex 48 color = 2
  Vertex 49 color = 1
  Vertex 50 color = 6
  Vertex 51 color = 8
  Vertex 52 color = 10
  Vertex 53 color = 8
  Vertex 54 color = 10
  Vertex 55 color = 10
  Vertex 56 color = 10
  Vertex 57 color = 10
  Vertex 58 color = 6
  Vertex 59 color = 1
  Vertex 60 color = 1
  Vertex 61 color = 11
  Vertex 62 color = 2
  Vertex 63 color = 0
  Vertex 64 color = 9
  Vertex 65 color = 6
  Vertex 66 color = 9
  Vertex 67 color = 4
  Vertex 68 color = 5
  Vertex 69 color = 0
  Vertex 70 color = 4
  Vertex 71 color = 11
  Vertex 72 color = 5
  Vertex 73 color = 4
  Vertex 74 color = 4
  Vertex 75 color = 7
  Vertex 76 color = 0
  Vertex 77 color = 9
  Vertex 78 color = 3
  Vertex 79 color = 0
  Vertex 80 color = 9
  Vertex 81 color = 0
  Vertex 82 color = 1
  Vertex 83 color = 10
  Vertex 84 color = 0
  Vertex 85 color = 9
  Vertex 86 color = 4
  Vertex 87 color = 4
  Vertex 88 color = 10
  Vertex 89 color = 5
  Vertex 90 color = 11
  Vertex 91 color = 6
  Vertex 92 color = 1
  Vertex 93 color = 0
  Vertex 94 color = 7
  Vertex 95 color = 11
  Vertex 96 color = 4
  Vertex 97 color = 9
  Vertex 98 color = 3
  Vertex 99 color = 5
  Vertex 100 color = 5
  Vertex 101 color = 3
  Vertex 102 color = 10
  Vertex 103 color = 0
  Vertex 104 color = 10
  Vertex 105 color = 8
  Vertex 106 color = 0
  Vertex 107 color = 5
  Vertex 108 color = 7
  Vertex 109 color = 0
  Vertex 110 color = 8
  Vertex 111 color = 2
  Vertex 112 color = 6
  Vertex 113 color = 1
  Vertex 114 color = 3
  Vertex 115 color = 5
  Vertex 116 color = 9
  Vertex 117 color = 6
  Vertex 118 color = 6
  Vertex 119 color = 7
  Vertex 120 color = 2
  Vertex 121 color = 10
  Vertex 122 color = 7
  Vertex 123 color = 5
  Vertex 124 color = 10
  Vertex 125 color = 2
  Vertex 126 color = 6
  Vertex 127 color = 6
  Vertex 128 color = 7
  Vertex 129 color = 6
  Vertex 130 color = 9
  Vertex 131 color = 11
  Vertex 132 color = 11
  Vertex 133 color = 1
  Vertex 134 color = 2
  Vertex 135 color = 1
  Vertex 136 color = 6
  Vertex 137 color = 8
  Vertex 138 color = 6
  Vertex 139 color = 4
  Vertex 140 color = 11
  Vertex 141 color = 3
  Vertex 142 color = 11
  Vertex 143 color = 10
  Vertex 144 color = 1
  Vertex 145 color = 5
  Vertex 146 color = 9
  Vertex 147 color = 1
  Vertex 148 color = 1
  Vertex 149 color = 11
  Vertex 150 color = 11
  Vertex 151 color = 3
  Vertex 152 color = 7
  Vertex 153 color = 7
  Vertex 154 color = 8
  Vertex 155 color = 11
