Instance File:
  instances/cmb01

Time:
  8085.55263710022

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 2108

Initial Solution Value:
  2799284.13

Initial number of color conflicts:
  268

Final Solution Value:
  141856.49

Final number of color conflicts:
  4

Solution:
  Vertex 0 color = 10
  Vertex 1 color = 4
  Vertex 2 color = 7
  Vertex 3 color = 11
  Vertex 4 color = 5
  Vertex 5 color = 7
  Vertex 6 color = 10
  Vertex 7 color = 10
  Vertex 8 color = 7
  Vertex 9 color = 6
  Vertex 10 color = 11
  Vertex 11 color = 6
  Vertex 12 color = 6
  Vertex 13 color = 7
  Vertex 14 color = 9
  Vertex 15 color = 8
  Vertex 16 color = 1
  Vertex 17 color = 9
  Vertex 18 color = 1
  Vertex 19 color = 10
  Vertex 20 color = 11
  Vertex 21 color = 9
  Vertex 22 color = 4
  Vertex 23 color = 2
  Vertex 24 color = 5
  Vertex 25 color = 6
  Vertex 26 color = 0
  Vertex 27 color = 11
  Vertex 28 color = 11
  Vertex 29 color = 7
  Vertex 30 color = 10
  Vertex 31 color = 3
  Vertex 32 color = 4
  Vertex 33 color = 11
  Vertex 34 color = 2
  Vertex 35 color = 0
  Vertex 36 color = 6
  Vertex 37 color = 10
  Vertex 38 color = 8
  Vertex 39 color = 11
  Vertex 40 color = 0
  Vertex 41 color = 9
  Vertex 42 color = 7
  Vertex 43 color = 0
  Vertex 44 color = 6
  Vertex 45 color = 2
  Vertex 46 color = 8
  Vertex 47 color = 1
  Vertex 48 color = 9
  Vertex 49 color = 0
  Vertex 50 color = 2
  Vertex 51 color = 0
  Vertex 52 color = 10
  Vertex 53 color = 0
  Vertex 54 color = 9
  Vertex 55 color = 7
  Vertex 56 color = 5
  Vertex 57 color = 4
  Vertex 58 color = 4
  Vertex 59 color = 3
  Vertex 60 color = 7
  Vertex 61 color = 5
  Vertex 62 color = 10
  Vertex 63 color = 2
  Vertex 64 color = 1
  Vertex 65 color = 10
  Vertex 66 color = 10
  Vertex 67 color = 1
  Vertex 68 color = 10
  Vertex 69 color = 8
  Vertex 70 color = 2
  Vertex 71 color = 0
  Vertex 72 color = 10
  Vertex 73 color = 11
  Vertex 74 color = 10
  Vertex 75 color = 11
  Vertex 76 color = 1
  Vertex 77 color = 10
  Vertex 78 color = 1
  Vertex 79 color = 3
  Vertex 80 color = 3
  Vertex 81 color = 4
  Vertex 82 color = 5
  Vertex 83 color = 4
  Vertex 84 color = 8
  Vertex 85 color = 4
  Vertex 86 color = 2
  Vertex 87 color = 1
  Vertex 88 color = 10
  Vertex 89 color = 9
  Vertex 90 color = 8
  Vertex 91 color = 11
  Vertex 92 color = 7
  Vertex 93 color = 1
  Vertex 94 color = 0
  Vertex 95 color = 3
  Vertex 96 color = 4
  Vertex 97 color = 2
  Vertex 98 color = 9
  Vertex 99 color = 6
  Vertex 100 color = 4
  Vertex 101 color = 5
  Vertex 102 color = 1
  Vertex 103 color = 3
  Vertex 104 color = 5
  Vertex 105 color = 11
  Vertex 106 color = 10
  Vertex 107 color = 6
  Vertex 108 color = 8
  Vertex 109 color = 5
  Vertex 110 color = 7
  Vertex 111 color = 7
  Vertex 112 color = 9
  Vertex 113 color = 2
  Vertex 114 color = 4
  Vertex 115 color = 5
  Vertex 116 color = 7
  Vertex 117 color = 6
  Vertex 118 color = 7
  Vertex 119 color = 9
  Vertex 120 color = 7
  Vertex 121 color = 6
  Vertex 122 color = 5
  Vertex 123 color = 3
  Vertex 124 color = 3
  Vertex 125 color = 2
  Vertex 126 color = 3
  Vertex 127 color = 11
  Vertex 128 color = 2
  Vertex 129 color = 6
  Vertex 130 color = 8
  Vertex 131 color = 1
  Vertex 132 color = 5
  Vertex 133 color = 9
  Vertex 134 color = 0
  Vertex 135 color = 8
  Vertex 136 color = 9
  Vertex 137 color = 7
  Vertex 138 color = 4
  Vertex 139 color = 8
  Vertex 140 color = 2
  Vertex 141 color = 8
  Vertex 142 color = 6
  Vertex 143 color = 5
  Vertex 144 color = 8
  Vertex 145 color = 7
  Vertex 146 color = 8
  Vertex 147 color = 9
  Vertex 148 color = 8
  Vertex 149 color = 10
  Vertex 150 color = 7
  Vertex 151 color = 3
  Vertex 152 color = 11
  Vertex 153 color = 7
  Vertex 154 color = 6
  Vertex 155 color = 1
  Vertex 156 color = 7
  Vertex 157 color = 11
  Vertex 158 color = 5
  Vertex 159 color = 3
  Vertex 160 color = 5
  Vertex 161 color = 8
  Vertex 162 color = 1
  Vertex 163 color = 4
  Vertex 164 color = 6
  Vertex 165 color = 4
  Vertex 166 color = 1
  Vertex 167 color = 3
  Vertex 168 color = 5
  Vertex 169 color = 0
  Vertex 170 color = 6
  Vertex 171 color = 3
  Vertex 172 color = 6
  Vertex 173 color = 9
  Vertex 174 color = 3
  Vertex 175 color = 7
  Vertex 176 color = 5
  Vertex 177 color = 8
  Vertex 178 color = 5
  Vertex 179 color = 7
  Vertex 180 color = 0
  Vertex 181 color = 6
  Vertex 182 color = 1
  Vertex 183 color = 8
  Vertex 184 color = 0
  Vertex 185 color = 0
  Vertex 186 color = 3
  Vertex 187 color = 8
  Vertex 188 color = 9
  Vertex 189 color = 3
  Vertex 190 color = 0
  Vertex 191 color = 3
  Vertex 192 color = 9
  Vertex 193 color = 2
  Vertex 194 color = 10
  Vertex 195 color = 11
  Vertex 196 color = 11
  Vertex 197 color = 1
  Vertex 198 color = 10
  Vertex 199 color = 8
  Vertex 200 color = 1
  Vertex 201 color = 0
  Vertex 202 color = 5
  Vertex 203 color = 2
  Vertex 204 color = 11
  Vertex 205 color = 10
  Vertex 206 color = 8
  Vertex 207 color = 9
  Vertex 208 color = 7
  Vertex 209 color = 8
  Vertex 210 color = 9
  Vertex 211 color = 4
  Vertex 212 color = 2
  Vertex 213 color = 2
  Vertex 214 color = 11
  Vertex 215 color = 3
  Vertex 216 color = 11
  Vertex 217 color = 10
  Vertex 218 color = 3
  Vertex 219 color = 6
  Vertex 220 color = 4
  Vertex 221 color = 10
  Vertex 222 color = 5
  Vertex 223 color = 8
  Vertex 224 color = 9
  Vertex 225 color = 6
  Vertex 226 color = 11
  Vertex 227 color = 5
  Vertex 228 color = 6
  Vertex 229 color = 7
  Vertex 230 color = 0
  Vertex 231 color = 3
  Vertex 232 color = 7
  Vertex 233 color = 8
  Vertex 234 color = 5
  Vertex 235 color = 8
  Vertex 236 color = 8
  Vertex 237 color = 4
  Vertex 238 color = 2
